Batsman,Batting_Position,runs_scored,balls_faced,4s,6s,Team,opponent,out,venue,won
Rohit Sharma,1,15,18,1,1,MI,CSK,1,Wankhade,0
Evin Lewis,2,0,2,0,0,MI,CSK,1,Wankhade,0
Ishan Kishan,3,40,29,4,1,MI,CSK,1,Wankhade,0
SK Yadav,4,43,29,6,1,MI,CSK,1,Wankhade,0
Hardik Pandya,5,22,20,2,0,MI,CSK,0,Wankhade,0
Krunal Pandya,6,41,22,5,2,MI,CSK,0,Wankhade,0
Shane Watson,1,16,14,1,1,CSK,MI,1,Wankhade,1
Ambati Rayudu,2,22,19,4,0,CSK,MI,1,Wankhade,1
Suresh Raina,3,4,6,0,0,CSK,MI,1,Wankhade,1
Kedar Jadhav,4,24,22,1,2,CSK,MI,0,Wankhade,1
MS Dhoni,5,5,5,0,0,CSK,MI,1,Wankhade,1
R Jadeja,6,12,13,1,0,CSK,MI,1,Wankhade,1
DJ Bravo,7,68,30,3,7,CSK,MI,1,Wankhade,1
Deepak Chahar,8,0,1,0,0,CSK,MI,1,Wankhade,1
Harbhajan Singh,9,8,5,1,0,CSK,MI,1,Wankhade,1
Mark Wood,10,1,3,0,0,CSK,MI,1,Wankhade,1
Imran Tahir,11,2,2,0,0,CSK,MI,0,Wankhade,1
Colin Munro,1,4,6,0,0,DD,KXIP,1,Mohali,0
Gautam Gambhir,2,55,42,5,1,DD,KXIP,1,Mohali,0
Shreyas Iyer,3,11,11,0,1,DD,KXIP,1,Mohali,0
Vijay Shankar,4,13,13,0,0,DD,KXIP,1,Mohali,0
Rishab Pant,5,28,13,4,1,DD,KXIP,1,Mohali,0
Rahul Thewatia,6,9,7,1,0,DD,KXIP,1,Mohali,0
Chris Morris,7,27,16,1,1,DD,KXIP,0,Mohali,0
Dan Christian,8,13,13,0,1,DD,KXIP,1,Mohali,0
KL Rahul,1,51,16,6,4,KXIP,DD,1,Mohali,1
Mayank Agarwal,2,7,5,0,1,KXIP,DD,1,Mohali,1
Yuvraj Singh,3,12,22,2,0,KXIP,DD,1,Mohali,1
Karun Nair,4,50,33,5,2,KXIP,DD,1,Mohali,1
David Miller,5,24,23,1,0,KXIP,DD,0,Mohali,1
Marcus Stoinis,6,22,15,2,0,KXIP,DD,0,Mohali,1
McCullum,1,43,27,6,2,RCB,KKR,1,Eden Gardens,0
Decock,2,4,4,1,0,RCB,KKR,1,Eden Gardens,0
Virat Kohli,3,31,33,1,1,RCB,KKR,1,Eden Gardens,0
AB Devilliers,4,44,23,1,5,RCB,KKR,1,Eden Gardens,0
Sarfraz Khan,5,6,10,0,0,RCB,KKR,1,Eden Gardens,0
Mandeep Singh,6,37,18,4,2,RCB,KKR,1,Eden Gardens,0
Chris Woakes,7,5,5,1,0,RCB,KKR,1,Eden Gardens,0
Washington Sunder,8,0,0,0,0,RCB,KKR,0,Eden Gardens,0
Sunil Narine,1,50,19,4,5,KKR,RCB,1,Eden Gardens,1
Chris Lynn,2,5,8,1,0,KKR,RCB,1,Eden Gardens,1
Robin Uthappa,3,13,12,0,1,KKR,RCB,1,Eden Gardens,1
Nitesh Rana,4,34,25,2,2,KKR,RCB,1,Eden Gardens,1
Dinesh Karthik,5,35,29,4,0,KKR,RCB,0,Eden Gardens,1
Rinku Singh,6,6,6,1,0,KKR,RCB,1,Eden Gardens,1
Russel,7,15,11,2,1,KKR,RCB,1,Eden Gardens,1
Vinay Kumar,8,6,3,1,0,KKR,RCB,0,Eden Gardens,1
Ajinkya Rahane,1,13,13,2,0,RR,SRH,1,Hyderabad,0
Darcy Short,2,4,4,1,0,RR,SRH,1,Hyderabad,0
Sanju Samson,3,49,42,5,0,RR,SRH,1,Hyderabad,0
Ben Stokes,4,5,8,0,0,RR,SRH,1,Hyderabad,0
Rahul Tripathi,5,17,15,2,0,RR,SRH,1,Hyderabad,0
Jos Butler,6,6,9,0,0,RR,SRH,1,Hyderabad,0
K Gowtham,7,0,2,0,0,RR,SRH,1,Hyderabad,0
Shreyas Gopal,8,18,18,2,0,RR,SRH,1,Hyderabad,0
Dhawal Kulkarni,9,3,4,0,0,RR,SRH,0,Hyderabad,0
Jayadev Unadkat,10,1,2,0,0,RR,SRH,1,Hyderabad,0
Ben Laughlin,11,1,3,0,0,RR,SRH,0,Hyderabad,0
Saha,1,5,5,1,0,SRH,RR,1,Hyderabad,1
Shikhar Dhawan,2,78,57,13,1,SRH,RR,0,Hyderabad,1
Kane Williamson,3,36,35,3,3,SRH,RR,0,Hyderabad,1
Chris Lynn,1,22,16,4,0,KKR,CSK,1,Chennai,0
Sunil Narine,2,12,4,0,2,KKR,CSK,1,Chennai,0
Robin Uthappa,3,29,16,2,3,KKR,CSK,1,Chennai,0
Nitesh Rana,4,16,14,2,0,KKR,CSK,1,Chennai,0
Dinesh Karthik,5,26,25,2,1,KKR,CSK,1,Chennai,0
Rinku Singh,6,2,4,0,0,KKR,CSK,1,Chennai,0
Russel,7,88,36,1,11,KKR,CSK,0,Chennai,0
Tom Curran,8,2,5,0,0,KKR,CSK,0,Chennai,0
Shane Watson,1,42,19,3,3,CSK,KKR,1,Chennai,1
Ambati Rayudu,2,39,26,3,2,CSK,KKR,1,Chennai,1
Suresh Raina,3,14,12,0,1,CSK,KKR,1,Chennai,1
MS Dhoni,4,25,28,1,1,CSK,KKR,1,Chennai,1
Sam Billings,5,56,23,2,5,CSK,KKR,1,Chennai,1
R Jadeja,6,11,7,0,1,CSK,KKR,0,Chennai,1
DJ Bravo,7,11,5,0,1,CSK,KKR,0,Chennai,1
Ajinkya Rahane,1,45,40,5,0,RR,DD,1,Jaipur,1
Darcy Short,2,6,3,1,0,RR,DD,1,Jaipur,1
Ben Stokes,3,16,12,1,1,RR,DD,1,Jaipur,1
Sanju Samson,4,37,22,2,2,RR,DD,1,Jaipur,1
Jos Butler,5,29,18,2,2,RR,DD,1,Jaipur,1
Rahul Tripathi,6,15,11,0,1,RR,DD,0,Jaipur,1
K Gowtham,7,2,1,0,0,RR,DD,0,Jaipur,1
Glenn Maxwell,1,17,12,2,1,DD,RR,1,Jaipur,0
Colin Munro,2,0,0,0,0,DD,RR,1,Jaipur,0
Rishab Pant,3,20,14,3,0,DD,RR,1,Jaipur,0
Chris Morris,4,17,7,2,1,DD,RR,0,Jaipur,0
Vijay Shankar,5,3,3,0,0,DD,RR,1,Jaipur,0
Shreyas Iyer,6,0,0,0,0,DD,RR,0,Jaipur,0
Rohit Sharma,1,11,10,1,1,MI,SRH,1,Hyderabad,0
Evin Lewis,2,29,17,3,2,MI,SRH,1,Hyderabad,0
Ishan Kishan,3,9,9,2,0,MI,SRH,1,Hyderabad,0
SK Yadav,4,28,31,2,1,MI,SRH,1,Hyderabad,0
Krunal Pandya,5,15,10,2,0,MI,SRH,1,Hyderabad,0
Pollard,6,28,23,3,2,MI,SRH,1,Hyderabad,0
Ben Cutting,7,9,9,1,0,MI,SRH,1,Hyderabad,0
Pradeep Sangwan,8,0,4,0,0,MI,SRH,1,Hyderabad,0
Markhande,9,6,3,1,0,MI,SRH,0,Hyderabad,0
Bumrah,10,4,5,0,0,MI,SRH,0,Hyderabad,0
Saha,1,22,20,3,0,SRH,MI,1,Hyderabad,1
Shikhar Dhawan,2,45,28,8,0,SRH,MI,1,Hyderabad,1
Kane Williamson,3,6,4,1,0,SRH,MI,1,Hyderabad,1
Manish Pandey,4,11,8,1,0,SRH,MI,1,Hyderabad,1
Shakib,5,12,12,1,0,SRH,MI,1,Hyderabad,1
Deepak Hooda,6,32,25,1,1,SRH,MI,0,Hyderabad,1
Yusuf Pathan,7,14,14,2,0,SRH,MI,1,Hyderabad,1
Rashid Khan,8,0,1,0,0,SRH,MI,1,Hyderabad,1
Siddardh Kaul,9,0,4,0,0,SRH,MI,1,Hyderabad,1
Sandeep Sharma,10,0,2,0,0,SRH,MI,1,Hyderabad,1
Stanlake,11,5,2,1,0,SRH,MI,0,Hyderabad,1
KL Rahul,1,47,30,2,4,KXIP,RCB,1,Bangalore,0
Mayank Agarwal,2,15,11,3,0,KXIP,RCB,1,Bangalore,0
Aron Finch,3,0,1,0,0,KXIP,RCB,1,Bangalore,0
Yuvraj Singh,4,4,4,1,0,KXIP,RCB,1,Bangalore,0
Karun Nair,5,29,26,3,0,KXIP,RCB,1,Bangalore,0
Marcus Stoinis,6,11,9,0,1,KXIP,RCB,1,Bangalore,0
Axar Patel,7,2,3,0,0,KXIP,RCB,1,Bangalore,0
Ashwin,8,33,21,3,1,KXIP,RCB,1,Bangalore,0
Andrew Tye,9,7,7,0,0,KXIP,RCB,1,Bangalore,0
Mohit Sharma,10,1,2,0,0,KXIP,RCB,0,Bangalore,0
Mujeeb,11,0,2,0,0,KXIP,RCB,1,Bangalore,0
Decock,1,45,34,7,1,RCB,KXIP,1,Bangalore,1
McCullum,2,0,1,0,0,RCB,KXIP,1,Bangalore,1
Virat Kohli,3,21,16,4,0,RCB,KXIP,1,Bangalore,1
AB Devilliers,4,57,40,2,4,RCB,KXIP,1,Bangalore,1
Sarfraz Khan,5,0,1,0,0,RCB,KXIP,1,Bangalore,1
Mandeep Singh,6,22,19,1,0,RCB,KXIP,1,Bangalore,1
Chris Woakes,7,1,2,0,0,RCB,KXIP,0,Bangalore,1
Washington Sunder,8,9,4,2,0,RCB,KXIP,0,Bangalore,1
SK Yadav,1,53,32,7,1,MI,DD,1,Wankhade,0
Evin Lewis,2,48,28,4,4,MI,DD,1,Wankhade,0
Ishan Kishan,3,44,23,5,2,MI,DD,1,Wankhade,0
Rohit Sharma,4,18,15,2,0,MI,DD,1,Wankhade,0
Pollard,5,0,1,0,0,MI,DD,1,Wankhade,0
Krunal Pandya,6,11,10,1,0,MI,DD,1,Wankhade,0
Hardik Pandya,7,2,3,0,0,MI,DD,1,Wankhade,0
Dananjaya,8,4,5,0,0,MI,DD,0,Wankhade,0
Markhande,9,4,3,0,0,MI,DD,0,Wankhade,0
Jason Roy,1,91,53,6,6,DD,MI,0,Wankhade,1
Gautam Gambhir,2,15,16,2,0,DD,MI,1,Wankhade,1
Rishab Pant,3,47,25,6,2,DD,MI,1,Wankhade,1
Glenn Maxwell,4,13,6,1,1,DD,MI,1,Wankhade,1
Shreyas Iyer,5,27,20,3,1,DD,MI,0,Wankhade,1
Robin Uthappa,1,3,8,0,0,KKR,SRH,1,Eden Gardens,0
Chris Lynn,2,49,34,7,1,KKR,SRH,1,Eden Gardens,0
Nitesh Rana,3,18,16,2,1,KKR,SRH,1,Eden Gardens,0
Sunil Narine,4,9,10,1,0,KKR,SRH,1,Eden Gardens,0
Dinesh Karthik,5,29,27,2,1,KKR,SRH,1,Eden Gardens,0
Russel,6,9,5,0,1,KKR,SRH,1,Eden Gardens,0
Shubman Gill,7,3,9,0,0,KKR,SRH,1,Eden Gardens,0
Shivam Mavi,8,7,8,0,0,KKR,SRH,1,Eden Gardens,0
Johnson,9,4,5,0,0,KKR,SRH,0,Eden Gardens,0
Saha,1,24,15,5,0,SRH,KKR,1,Eden Gardens,1
Shikhar Dhawan,2,7,7,1,0,SRH,KKR,1,Eden Gardens,1
Kane Williamson,3,50,44,4,1,SRH,KKR,1,Eden Gardens,1
Manish Pandey,4,4,11,0,0,SRH,KKR,1,Eden Gardens,1
Shakib,5,27,21,2,1,SRH,KKR,1,Eden Gardens,1
Deepak Hooda,6,5,9,0,0,SRH,KKR,0,Eden Gardens,1
Yusuf Pathan,7,17,7,2,1,SRH,KKR,0,Eden Gardens,1
Ajinkya Rahane,1,36,20,6,1,RR,RCB,1,Bangalore,1
Darcy Short,2,11,17,1,0,RR,RCB,1,Bangalore,1
Sanju Samson,3,92,45,2,10,RR,RCB,0,Bangalore,1
Ben Stokes,4,27,21,2,1,RR,RCB,1,Bangalore,1
Jos Butler,5,23,14,2,1,RR,RCB,1,Bangalore,1
Rahul Tripathi,6,14,5,1,1,RR,RCB,0,Bangalore,1
McCullum,1,4,4,1,0,RCB,RR,1,Bangalore,0
Decock,2,26,19,4,0,RCB,RR,1,Bangalore,0
Virat Kohli,3,57,30,7,2,RCB,RR,1,Bangalore,0
AB Devilliers,4,20,18,1,1,RCB,RR,1,Bangalore,0
Mandeep Singh,5,47,25,6,1,RCB,RR,0,Bangalore,0
Pawan Negi,6,3,4,0,0,RCB,RR,1,Bangalore,0
Washington Sunder,7,35,19,1,3,RCB,RR,1,Bangalore,0
Chris Woakes,8,0,1,0,0,RCB,RR,0,Bangalore,0
KL Rahul,1,37,22,7,0,KXIP,CSK,1,Mohali,1
Chris Gayle,2,63,33,7,4,KXIP,CSK,1,Mohali,1
Mayank Agarwal,3,30,19,1,2,KXIP,CSK,1,Mohali,1
Yuvraj Singh,4,20,13,2,1,KXIP,CSK,1,Mohali,1
Aron Finch,5,0,1,0,0,KXIP,CSK,1,Mohali,1
Karun Nair,6,29,17,2,1,KXIP,CSK,1,Mohali,1
Ashwin,7,14,11,0,0,KXIP,CSK,1,Mohali,1
Andrew Tye,8,3,4,0,0,KXIP,CSK,0,Mohali,1
Sran,9,0,0,0,0,KXIP,CSK,0,Mohali,1
Shane Watson,1,11,9,2,0,CSK,KXIP,1,Mohali,0
Murali Vijay,2,12,10,0,1,CSK,KXIP,1,Mohali,0
Ambati Rayudu,3,49,35,5,1,CSK,KXIP,1,Mohali,0
Sam Billings,4,9,8,1,0,CSK,KXIP,1,Mohali,0
MS Dhoni,5,79,44,6,5,CSK,KXIP,0,Mohali,0
R Jadeja,6,19,13,1,1,CSK,KXIP,1,Mohali,0
DJ Bravo,7,1,1,0,0,CSK,KXIP,0,Mohali,0
Chris Lynn,1,31,29,4,1,KKR,DD,1,Eden Gardens,1
Sunil Narine,2,1,4,0,0,KKR,DD,1,Eden Gardens,1
Robin Uthappa,3,35,19,2,3,KKR,DD,1,Eden Gardens,1
Nitesh Rana,4,59,35,5,4,KKR,DD,1,Eden Gardens,1
Dinesh Karthik,5,19,10,2,1,KKR,DD,1,Eden Gardens,1
Russel,6,41,12,0,6,KKR,DD,1,Eden Gardens,1
Shubman Gill,7,6,5,1,0,KKR,DD,1,Eden Gardens,1
Tom Curran,8,2,3,0,0,KKR,DD,1,Eden Gardens,1
Chawla,9,0,3,0,0,KKR,DD,1,Eden Gardens,1
Shivam Mavi,10,0,0,0,0,KKR,DD,0,Eden Gardens,1
Gautam Gambhir,1,8,7,1,0,DD,KKR,1,Eden Gardens,0
Jason Roy,2,1,3,0,0,DD,KKR,1,Eden Gardens,0
Shreyas Iyer,3,4,3,1,0,DD,KKR,1,Eden Gardens,0
